zone_id,settlement,road_density,paved_proportion,total_road_length_m,road_segment_count
MTH_1251,Mathare,20997.5535,0.0,52.39,1
MTH_1252,Mathare,24338.7689,0.0,60.73,2
MTH_1253,Mathare,38456.4148,0.0,95.95,2
MTH_1254,Mathare,15505.1539,0.0,38.69,2
MTH_1255,Mathare,8103.2608,0.0,20.22,1
MTH_1256,Mathare,20958.535,0.0,52.29,1
MTH_1257,Mathare,0.0,0.0,0.0,0
MTH_1283,Mathare,40968.592,0.0,83.57,3
MTH_1284,Mathare,0.0,0.0,0.0,0
MTH_1285,Mathare,44694.9728,0.0,111.51,2
MTH_1286,Mathare,20179.8573,0.0,50.35,1
MTH_1287,Mathare,0.0,0.0,0.0,0
MTH_1288,Mathare,0.0,0.0,0.0,0
MTH_1289,Mathare,0.0,0.0,0.0,0
MTH_1290,Mathare,20122.4111,0.0,50.21,1
MTH_1291,Mathare,32601.1473,0.0,81.34,2
MTH_1292,Mathare,30474.1919,0.0,76.03,2
MTH_1293,Mathare,31609.0615,0.0,78.86,2
MTH_1294,Mathare,26164.8151,0.0,65.28,2
MTH_1295,Mathare,5692.7323,0.0,14.2,1
MTH_1296,Mathare,18154.5731,0.0,39.7,1
MTH_1323,Mathare,44153.3248,0.0,89.5,2
MTH_1324,Mathare,46819.2106,0.0,116.81,4
MTH_1325,Mathare,58862.8694,0.0,146.86,6
MTH_1326,Mathare,20065.6558,0.0,50.06,1
MTH_1327,Mathare,0.0,0.0,0.0,0
MTH_1328,Mathare,0.0,0.0,0.0,0
MTH_1329,Mathare,0.0,0.0,0.0,0
MTH_1330,Mathare,20129.8427,0.0,50.22,1
MTH_1331,Mathare,32943.9857,0.0,82.2,2
MTH_1332,Mathare,20898.8122,0.0,52.14,1
MTH_1333,Mathare,39559.0881,0.0,98.7,3
MTH_1334,Mathare,69.3862,0.0,0.17,1
MTH_1335,Mathare,14028.8372,0.0,31.0,2
MTH_1363,Mathare,41512.0737,0.0,83.77,2
MTH_1364,Mathare,29359.2074,0.0,73.25,2
MTH_1365,Mathare,35455.3229,0.0,88.46,2
MTH_1366,Mathare,20102.9369,0.0,50.16,1
MTH_1367,Mathare,0.0,0.0,0.0,0
MTH_1368,Mathare,0.0,0.0,0.0,0
MTH_1369,Mathare,0.0,0.0,0.0,0
MTH_1370,Mathare,27171.6632,0.0,67.79,2
MTH_1371,Mathare,0.0,0.0,0.0,0
MTH_1372,Mathare,22026.1964,0.0,54.96,1
MTH_1373,Mathare,5054.7628,0.0,12.61,1
MTH_1374,Mathare,0.0,0.0,0.0,0
MTH_1375,Mathare,0.0,0.0,0.0,0
MTH_1403,Mathare,24836.1432,0.0,49.95,1
MTH_1404,Mathare,41507.8011,0.0,103.56,3
MTH_1405,Mathare,33201.8975,0.0,82.84,2
MTH_1406,Mathare,36783.6488,0.0,91.78,2
MTH_1407,Mathare,23945.3801,0.0,59.74,3
MTH_1408,Mathare,20139.1683,0.0,50.25,2
MTH_1409,Mathare,27816.5988,0.0,69.4,2
MTH_1410,Mathare,30639.7999,0.0,76.45,2
MTH_1411,Mathare,39598.6865,0.0,98.8,3
MTH_1412,Mathare,7062.5326,0.0,17.62,1
MTH_1413,Mathare,0.0,0.0,0.0,0
MTH_1414,Mathare,0.0,0.0,0.0,0
MTH_1443,Mathare,45229.9729,0.0,90.37,3
MTH_1444,Mathare,23143.3717,0.0,57.74,3
MTH_1445,Mathare,0.0,0.0,0.0,0
MTH_1446,Mathare,3916.6552,0.0,9.77,1
MTH_1447,Mathare,16377.8564,0.0,40.86,1
MTH_1448,Mathare,0.0,0.0,0.0,0
MTH_1449,Mathare,0.0,0.0,0.0,0
MTH_1450,Mathare,13484.6344,0.0,33.64,1
MTH_1451,Mathare,34986.1279,0.0,87.29,4
MTH_1452,Mathare,4252.76,0.0,9.24,1
MTH_1453,Mathare,0.0,0.0,0.0,0
MTH_1483,Mathare,25294.0499,0.0,49.95,1
MTH_1484,Mathare,20032.201,0.0,49.98,1
MTH_1485,Mathare,0.0,0.0,0.0,0
MTH_1486,Mathare,21074.5975,0.0,52.58,1
MTH_1487,Mathare,0.0,0.0,0.0,0
MTH_1488,Mathare,0.0,0.0,0.0,0
MTH_1489,Mathare,23314.9022,0.0,58.17,1
MTH_1490,Mathare,26034.3483,0.0,64.96,3
MTH_1491,Mathare,25703.4853,0.0,38.49,3
MTH_1523,Mathare,25632.3171,0.0,49.95,1
MTH_1524,Mathare,20031.4315,0.0,49.98,1
MTH_1525,Mathare,0.0,0.0,0.0,0
MTH_1526,Mathare,20418.945,0.0,50.95,1
MTH_1527,Mathare,0.0,0.0,0.0,0
